LED,0603_red,4000pcs
R,0805_10K,5000pcs
R,0805_20R,5000pcs
R,0805_1K,5000pcs
C,0805_100nF,4000pcs
C,0603_100nF,4000pcs
C,1206_100nF,4000pcs
C,0805_22uF,2000pcs
C,0805_10uF,2000pcs
C,1206_22uF,2000pcs
D,1N5819_SS14,2000pcs
D,1N5822_SS34,2000pcs
D,SR540_SS54,2000pcs
NMOS,AO3400,3000pcs
R,0603_10K,5000pcs
R,0603_1K,5000pcs
直插轻触开关,6*6*7.5mm,1000pcs
排针,红2.54mm_1x40,200pcs
排针,黑2.54mm_1x40,200pcs
排母,黑2.54mm_1x40,100pcs
短接帽,黑_2.54mm,1000pcs
插簧保护套,2.8mm,200pcs
插簧,2.8mm,200pcs
电容,220uF_8*12mm_25v,500pcs
1N4148,直插二极管DO-35,500pcs 
280隔膜水泵,带耳朵,2只
